timestamp,model_type,data_depth,epoch,accuracy,rs_bpp,psnr,ssim,model_path
2025-04-30 00:28:44,basic,1,32,0.9984044814109803,0.9968089628219604,24.42048770904541,0.9964074850082397,models/normal/BasicSteganoGAN/1/epoch_32.pth
2025-04-30 00:29:21,basic,2,32,0.9934929573535919,1.9739718294143678,27.227407455444336,0.9984654796123504,models/normal/BasicSteganoGAN/2/epoch_32.pth
2025-04-30 00:30:04,basic,3,32,0.9780290919542313,2.8681745517253874,20.332575073242186,0.9912493717670441,models/normal/BasicSteganoGAN/3/epoch_32.pth
2025-04-30 00:30:45,basic,4,32,0.847874509692192,2.7829960775375366,18.290960149765013,0.9861920166015625,models/normal/BasicSteganoGAN/4/epoch_32.pth
2025-04-30 00:31:26,basic,5,32,0.7787586879730225,2.787586879730225,24.18711757659912,0.9970414245128632,models/normal/BasicSteganoGAN/5/epoch_32.pth
2025-04-30 00:32:13,basic,6,32,0.7309229630231857,2.7710755562782285,28.624924392700194,0.9986083799600601,models/normal/BasicSteganoGAN/6/epoch_32.pth
2025-04-30 00:33:09,residual,1,32,0.999571007490158,0.9991420149803162,41.43617473602295,0.9999314230680466,models/normal/ResidualSteganoGAN/1/epoch_32.pth
2025-04-30 00:34:03,residual,2,32,0.9979030948877334,1.9916123795509337,38.546486434936526,0.9998590677976609,models/normal/ResidualSteganoGAN/2/epoch_32.pth
2025-04-30 00:34:54,residual,3,32,0.9911968809366226,2.947181285619736,33.64255161285401,0.9995631325244904,models/normal/ResidualSteganoGAN/3/epoch_32.pth
2025-04-30 00:35:45,residual,4,32,0.8600884056091309,2.880707244873047,34.64057540893555,0.9996535545587539,models/normal/ResidualSteganoGAN/4/epoch_32.pth
2025-04-30 00:36:40,residual,5,32,0.783876935839653,2.8387693583965303,36.20720176696777,0.9997549080848693,models/normal/ResidualSteganoGAN/5/epoch_32.pth
2025-04-30 00:37:42,residual,6,32,0.7347265315055848,2.8167183780670166,35.99453102111816,0.9997440803050995,models/normal/ResidualSteganoGAN/6/epoch_32.pth
2025-04-30 00:38:57,dense,1,32,0.999825918674469,0.999651837348938,43.0550415802002,0.9999518454074859,models/normal/DenseSteganoGAN/1/epoch_32.pth
2025-04-30 00:40:04,dense,2,32,0.9990662634372711,1.9962650537490845,37.343890800476075,0.9998226678371429,models/normal/DenseSteganoGAN/2/epoch_32.pth
2025-04-30 00:41:15,dense,3,32,0.9952647829055786,2.9715886974334715,34.378891448974606,0.9996249192953109,models/normal/DenseSteganoGAN/3/epoch_32.pth
2025-04-30 00:42:34,dense,4,32,0.9499311363697052,3.5994490909576418,33.640833568573,0.9995658195018768,models/normal/DenseSteganoGAN/4/epoch_32.pth
2025-04-30 00:44:11,dense,5,32,0.8445916414260864,3.4459164142608643,34.300511322021485,0.999633281826973,models/normal/DenseSteganoGAN/5/epoch_32.pth
2025-04-30 00:45:57,dense,6,32,0.7364069092273712,2.8368829107284546,35.1320991897583,0.9996938413381576,models/normal/DenseSteganoGAN/6/epoch_32.pth
2025-04-30 00:47:28,basic,7,32,0.6953011119365692,2.734215567111969,25.45127914428711,0.997768388390541,models/normal/BasicSteganoGAN/7/epoch_32.pth
2025-04-30 00:48:48,basic,8,32,0.6702327513694764,2.723724021911621,22.87189374923706,0.9956625336408615,models/normal/BasicSteganoGAN/8/epoch_32.pth
2025-04-30 00:50:11,basic,9,32,0.6531094574928283,2.7559702348709108,20.678132133483885,0.9900655633211136,models/normal/BasicSteganoGAN/9/epoch_32.pth
2025-04-30 00:51:36,basic,10,32,0.6356836628913879,2.7136732578277587,26.31779016494751,0.9976176273822784,models/normal/BasicSteganoGAN/10/epoch_32.pth
2025-04-30 00:53:04,basic,11,32,0.6152907067537308,2.536395548582077,22.507991733551027,0.9932406932115555,models/normal/BasicSteganoGAN/11/epoch_32.pth
2025-04-30 00:54:33,basic,12,32,0.6108617019653321,2.660680847167969,22.653769493103027,0.9936436188220977,models/normal/BasicSteganoGAN/12/epoch_32.pth
2025-04-30 00:56:07,residual,7,32,0.7010014814138412,2.8140207397937775,37.46296821594238,0.9998169767856598,models/normal/ResidualSteganoGAN/7/epoch_32.pth
2025-04-30 00:57:27,residual,8,32,0.7769967061281204,4.431947298049927,36.00743492126465,0.9997445750236511,models/normal/ResidualSteganoGAN/8/epoch_32.pth
2025-04-30 00:58:56,residual,9,32,0.702391232252121,3.6430421805381776,36.08791156768799,0.9997519975900651,models/normal/ResidualSteganoGAN/9/epoch_32.pth
2025-04-30 01:00:39,residual,10,32,0.7037026298046112,4.0740525960922245,37.44906753540039,0.9998189562559128,models/normal/ResidualSteganoGAN/10/epoch_32.pth
2025-04-30 01:02:54,residual,11,32,0.6915369689464569,4.213813316822052,37.712417678833006,0.9998237383365631,models/normal/ResidualSteganoGAN/11/epoch_32.pth
2025-04-30 01:05:27,residual,12,32,0.6511724776029587,3.628139462471008,37.953307151794434,0.9998390346765518,models/normal/ResidualSteganoGAN/12/epoch_32.pth
2025-04-30 01:07:21,dense,7,32,0.7019344043731689,2.827081661224365,35.852510375976564,0.9997370505332946,models/normal/DenseSteganoGAN/7/epoch_32.pth
2025-04-30 01:09:10,dense,8,32,0.6725367480516433,2.760587968826294,36.46193840026856,0.9997809147834777,models/normal/DenseSteganoGAN/8/epoch_32.pth
2025-04-30 01:10:26,dense,9,32,0.6535900908708573,2.7646216356754305,36.813040504455564,0.9997931104898453,models/normal/DenseSteganoGAN/9/epoch_32.pth
